,Rank,Title,Studio,Total Gross,Theaters,Opening,Theaters.1,Open,Close,link,genre
84,85,Point Break (2015),WB,"$28,782,481","2,910","$9,800,252","2,910",12-25,2-25,/movies/?id=pointbreak2015.htm,Action
85,86,Sinister 2,Focus,"$27,740,955","2,799","$10,542,116","2,766",8-21,10-29,/movies/?id=sinister2.htm,Horror
86,87,The Last Witch Hunter,LG/S,"$27,367,660","3,082","$10,812,861","3,082",10-23,12-31,/movies/?id=lastwitchhunter.htm,Action Fantasy
87,88,No Escape,Wein.,"$27,288,872","3,415","$8,111,264","3,355",8-26,11-26,/movies/?id=coup.htm,Action
88,89,Ricki and the Flash,TriS,"$26,822,144","2,064","$6,610,961","1,603",8-7,10-11,/movies/?id=rickiandtheflash.htm,Comedy / Drama
89,90,The Woman in Black 2: Angel of Death,Rela.,"$26,501,323","2,602","$15,027,415","2,602",1-2,3-19,/movies/?id=womaninblack2.htm,Horror
90,91,Run All Night,WB,"$26,461,644","3,171","$11,012,305","3,171",3-13,5-7,/movies/?id=runallnight.htm,Action
91,92,Love the Coopers,LGF,"$26,302,731","2,603","$8,317,545","2,603",11-13,1-14,/movies/?id=lovethecoopers.htm,Comedy
92,93,The Lazarus Effect,Rela.,"$25,801,047","2,666","$10,203,437","2,666",2-27,6-11,/movies/?id=lazarus.htm,Horror
93,94,Ex Machina,A24,"$25,442,958","2,004","$237,264",4,4-10,9-3,/movies/?id=exmachina.htm,Sci-Fi Thriller
94,95,In the Heart of the Sea,WB,"$25,020,758","3,103","$11,053,366","3,103",12-11,2-11,/movies/?id=heartofthesea.htm,Drama
95,96,The Gallows,WB (NL),"$22,764,410","2,720","$9,808,463","2,720",7-10,9-17,/movies/?id=newlinehorror2015.htm,Horror
96,97,Hitman: Agent 47,Fox,"$22,467,450","3,273","$8,326,530","3,261",8-21,10-15,/movies/?id=hitman47.htm,Action / Adventure
97,98,Project Almanac,Par.,"$22,348,241","2,900","$8,310,252","2,893",1-30,3-26,/movies/?id=almanac.htm,Sci-Fi
98,99,Black or White,Rela.,"$21,571,189","1,823","$6,213,362","1,823",1-30,5-14,/movies/?id=blackorwhite.htm,Drama
99,100,Aloha,Sony,"$21,067,116","2,815","$9,670,235","2,815",5-29,7-30,/movies/?id=crowe2014.htm,Comedy / Drama
