Rank,Title,Studio,Total Gross,Theaters,Opening,Theaters,Open,Close,link
71,How to Be Single,WB (NL),"$46,843,513","3,357","$17,878,911","3,343",2-12,4-14,/movies/?id=howtobesingle.htm
72,Mike and Dave Need Wedding Dates,Fox,"$46,009,673","3,008","$16,628,170","2,982",7-8,10-13,/movies/?id=mikeanddave.htm
73,War Dogs,WB,"$43,034,523","3,258","$14,685,305","3,258",8-19,10-20,/movies/?id=armsandthedudes.htm
74,Almost Christmas,Uni.,"$42,158,780","2,379","$15,134,235","2,376",11-11,1-12,/movies/?id=ameyerschristmas.htm
75,Money Monster,TriS,"$41,012,075","3,104","$14,788,157","3,104",5-13,8-4,/movies/?id=moneymonster.htm
76,Allied,Par.,"$40,098,064","3,160","$12,701,743","3,160",11-23,1-26,/movies/?id=pittcotillard.htm
77,Nerve,LGF,"$38,583,626","2,538","$9,445,456","2,538",7-27,10-6,/movies/?id=nerve.htm
78,Risen,Sony,"$36,880,033","2,915","$11,801,271","2,915",2-19,5-19,/movies/?id=risen.htm
79,The Nice Guys,WB,"$36,261,763","2,865","$11,203,270","2,865",5-20,8-4,/movies/?id=niceguys.htm
80,The Boy (2016),STX,"$35,819,556","2,671","$10,778,392","2,671",1-22,3-31,/movies/?id=boy2016.htm
81,Dirty Grandpa,LGF,"$35,593,113","2,912","$11,111,875","2,912",1-22,3-17,/movies/?id=dirtygrandpa.htm
82,Ouija: Origin of Evil,Uni.,"$35,144,505","3,168","$14,065,500","3,167",10-21,12-29,/movies/?id=blumhouse3.htm
83,The 5th Wave,Sony,"$34,916,787","2,908","$10,326,356","2,908",1-22,5-26,/movies/?id=5thwave.htm
84,Inferno,Sony,"$34,343,574","3,576","$14,860,425","3,576",10-28,1-19,/movies/?id=inferno2015.htm
85,Mother's Day,ORF,"$32,492,859","3,291","$8,369,184","3,035",4-29,6-16,/movies/?id=mothersday.htm
86,Patriots Day,LGF,"$31,886,361","3,120","$161,306",7,12-21,3-9,/movies/?id=patriotsday.htm
87,Gods of Egypt,LG/S,"$31,153,464","3,117","$14,123,903","3,117",2-26,5-12,/movies/?id=godsofegypt.htm
88,Collateral Beauty,WB (NL),"$31,016,021","3,028","$7,102,085","3,028",12-16,2-9,/movies/?id=collateralbeauty.htm
89,"Hail, Caesar!",Uni.,"$30,498,085","2,248","$11,355,225","2,232",2-5,6-30,/movies/?id=hailcaesar.htm
90,When the Bough Breaks,SGem,"$29,747,603","2,246","$14,202,323","2,246",9-9,11-17,/movies/?id=whentheboughbreaks.htm
91,Zoolander 2,Par.,"$28,848,693","3,418","$13,841,146","3,394",2-12,3-31,/movies/?id=zoolander2.htm
92,Moonlight (2016),A24,"$27,854,932","1,564","$402,075",4,10-21,5-4,/movies/?id=moonlight2016.htm
93,The Finest Hours,BV,"$27,569,558","3,143","$10,288,932","3,143",1-29,4-7,/movies/?id=finesthours.htm
94,Florence Foster Jenkins,Par.,"$27,383,770","1,528","$6,601,313","1,528",8-12,10-27,/movies/?id=florencefosterjenkins.htm
95,Hell or High Water,LGF,"$27,007,844","1,505","$621,329",32,8-12,11-17,/movies/?id=hellorhighwater.htm
96,The Forest,Focus,"$26,594,261","2,509","$12,741,176","2,451",1-8,3-17,/movies/?id=forest.htm
97,Ben-Hur (2016),Par.,"$26,410,477","3,084","$11,203,815","3,084",8-19,10-6,/movies/?id=benhur2016.htm
98,The Witch,A24,"$25,138,705","2,204","$8,800,230","2,046",2-19,5-26,/movies/?id=thewitch.htm
99,Bridget Jones's Baby,Uni.,"$24,252,420","2,930","$8,571,785","2,927",9-16,12-15,/movies/?id=bridgetjonessbaby.htm
100,Kevin Hart: What Now?,Uni.,"$23,591,043","2,567","$11,767,210","2,567",10-14,12-15,/movies/?id=kevinhart2016.htm
Summary of 737 Movies on Chart:,,,,,,,,,
Totals:,"$11,373,416,438",-,-,-,-,-,,,
Averages:,"$15,432,044",-,-,-,-,-,,,
,,,,,,,,,
Next Year >,,,,,,,,,
