순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국스크린수,전국매출액,전국관객수,서울매출액,서울관객수,장르,등급,영화구분
59 ,터미네이터 제니시스,앨런 테일러,,롯데쇼핑㈜롯데엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2015-07-02,개봉영화,장편,미국,"1,113 ",26546725129,"3,239,371 ",7364611329,"852,065 ",액션,15세이상관람가,상업영화
60 ,나우 유 씨 미 2,존 추,,롯데쇼핑㈜롯데엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2016-07-13,개봉영화,장편,미국,"1,200 ",25116690113,"3,100,113 ",7162588413,"850,601 ",범죄,12세이상관람가,상업영화
61 ,캐리비안의 해적: 죽은 자는 말이 없다,"요아킴 뢰닝,에스펜 샌버그",,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2017-05-24,개봉영화,장편,미국,"1,357 ",24975495122,"3,049,894 ",7206844722,"839,897 ",액션,12세이상관람가,상업영화
62 ,스물,이병헌,"(주)영화나무,(주)아이에이치큐",,(주)넥스트엔터테인먼트월드(NEW),2015-03-25,개봉영화,장편,한국,926 ,23558988686,"3,044,134 ",5990587486,"740,243 ",코미디,15세이상관람가,상업영화
63 ,인크레더블 2,브래드 버드,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2018-07-18,개봉영화,장편,미국,"1,605 ",24555052088,"3,033,103 ",7611627288,"880,533 ",애니메이션,전체관람가,상업영화
64 ,형,권수경,굿초이스컷픽쳐스(주),,씨제이이앤엠(주),2016-11-23,개봉영화,장편,한국,993 ,23129111893,"2,982,022 ",5484309343,"675,698 ",코미디,12세이상관람가,상업영화
65 ,엑스맨: 아포칼립스,브라이언 싱어,,이십세기폭스코리아(주),이십세기폭스코리아(주),2016-05-25,개봉영화,장편,미국,"1,262 ",24467887950,"2,938,818 ",7495864450,"847,621 ",액션,12세이상관람가,상업영화
66 ,프리즌,나현,(주)큐로홀딩스,,(주)쇼박스,2017-03-23,개봉영화,장편,한국,"1,047 ",23790276987,"2,931,897 ",5681060637,"679,455 ",범죄,청소년관람불가,상업영화
67 ,극비수사,곽경택,"(주)제이콘컴퍼니,(주)영화사 신세계",,(주)쇼박스,2015-06-18,개봉영화,장편,한국,894 ,22389535897,"2,860,786 ",5828885297,"717,981 ",드라마,15세이상관람가,상업영화
68 ,앤트맨,페이튼 리드,,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아(주),2015-09-03,개봉영화,장편,미국,949 ,23502249937,"2,839,921 ",7332839937,"840,337 ",액션,12세이상관람가,상업영화
69 ,빅 히어로,"돈 홀,크리스 윌리암스",,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아(주),2015-01-21,개봉영화,장편,미국,825 ,21993119765,"2,801,949 ",6512949165,"772,249 ",애니메이션,전체관람가,상업영화
70 ,덩케르크,크리스토퍼 놀란,,워너브러더스 코리아(주),워너브러더스 코리아(주),2017-07-20,개봉영화,장편,미국,"1,252 ",24576771848,"2,792,705 ",9451418198,"989,011 ",액션,12세이상관람가,상업영화
71 ,메이즈 러너: 스코치 트라이얼,웨스 볼,,이십세기폭스코리아(주),이십세기폭스코리아(주),2015-09-16,개봉영화,장편,미국,804 ,21596946349,"2,744,413 ",5743724849,"697,898 ",액션,12세이상관람가,상업영화
72 ,가디언즈 오브 갤럭시 VOL. 2,제임스 건,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2017-05-03,개봉영화,장편,미국,"1,218 ",23452674686,"2,735,719 ",7669006186,"854,131 ",액션,12세이상관람가,상업영화
73 ,미스 페레그린과 이상한 아이들의 집,팀 버튼,,이십세기폭스코리아(주),이십세기폭스코리아(주),2016-09-28,개봉영화,장편,미국,904 ,21841214586,"2,718,158 ",6220296286,"737,280 ",미스터리,12세이상관람가,상업영화
74 ,살인자의 기억법,원신연,"(주)쇼박스,(주)더블유픽처스,(주)그린피쉬,영화사 이창",,(주)쇼박스,2017-09-06,개봉영화,장편,한국,"1,064 ",21361479492,"2,656,694 ",5389419142,"643,595 ",범죄,15세이상관람가,상업영화
75 ,탐정 : 더 비기닝,김정훈,(주)크리픽쳐스,,씨제이이앤엠(주),2015-09-24,개봉영화,장편,한국,764 ,20463956973,"2,625,686 ",4092941173,"504,961 ",코미디,15세이상관람가,상업영화
76 ,미니언즈,"피에르 꼬팽,카일 발다",,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2015-07-29,개봉영화,장편,미국,792 ,18997911278,"2,625,572 ",4787634178,"630,536 ",애니메이션,전체관람가,상업영화
77 ,트랜스포머: 최후의 기사,마이클 베이,,롯데쇼핑㈜롯데엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2017-06-21,개봉영화,장편,미국,"1,739 ",21501959228,"2,614,601 ",5273073728,"609,345 ",액션,12세이상관람가,상업영화
78 ,제이슨 본,폴 그린그래스,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2016-07-27,개봉영화,장편,미국,827 ,21253434663,"2,611,966 ",6707397843,"797,790 ",액션,15세이상관람가,상업영화
79 ,도리를 찾아서,앤드류 스탠튼,,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아(주),2016-07-06,개봉영화,장편,미국,"1,091 ",20703899933,"2,601,734 ",6199961913,"724,706 ",애니메이션,전체관람가,상업영화
80 ,아수라,김성수,(주)사나이픽처스,,씨제이이앤엠(주),2016-09-28,개봉영화,장편,한국,"1,278 ",20576226662,"2,594,028 ",5577412282,"676,676 ",범죄,청소년관람불가,상업영화
81 ,보안관,김형주,"(주)영화사 월광,(주)사나이픽처스",,롯데쇼핑㈜롯데엔터테인먼트,2017-05-03,개봉영화,장편,한국,"1,091 ",20697532509,"2,571,491 ",4093422209,"491,530 ",범죄,15세이상관람가,상업영화
82 ,정글북,존 파브로,,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아(주),2016-06-09,개봉영화,장편,미국,924 ,21457807134,"2,532,051 ",6360280354,"702,113 ",어드벤처,12세이상관람가,상업영화
83 ,마이펫의 이중생활,크리스 리노드,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2016-08-03,개봉영화,장편,미국,726 ,19379904655,"2,517,805 ",5360235715,"656,542 ",애니메이션,전체관람가,상업영화
84 ,조작된 도시,박광현,"(주)티피에스컴퍼니,(주)영화사심플렉스,컬쳐메이트",,씨제이이앤엠(주),2017-02-09,개봉영화,장편,한국,"1,019 ",20119979587,"2,512,572 ",4696743687,"564,486 ",범죄,15세이상관람가,상업영화
