score,review,time,released
score,review,time,released
10,"정말 007,미션임파셔블을 합쳐놓은듯한 긴장감,스릴감이 쩌는 영화네요. 기존 시리즈도 함 찾아봐야겠어요. 클레이포이의 매력이 물씬풍기는 영화로 상영관이 없다는게 의아할정도로 반드시 극장서볼 영화네요!! 절대강추!!맞는 시간대가 잇으시면 주저말고 예매하",2018.12.01 21:52,True
10,영화 긴장감 쩔고 레알 강추다. 진짜 이런영화가 극장서 보기에 돈이 안아깝다는,2018.12.01 20:33,True
10,츤데레~~ 남자보단 여자영화,2018.12.01 17:08,True
10,와...최고의 영화였다 언니가 성범죄자놈들 후드려패는데 이렇게 통쾌할수가 자매가 세상을 주므르는데 세상 멋있다 꼭 보세요 진짜 놓치지 말아요 이건 모든 사람들이 봐야 해 상영도 하루에 한번밖에 안 하고 말이 되냐고 와,2018.12.01 16:53,True
8,관람객액션 기대하고 봤는데 타격?액션이라해야하나 그런것보다도 어떤상황에 있어서의 주인공의 천재성?을 보여주는 행동들과 바이크 타는 것 등등의 볼거리가 있다,2018.12.01 16:18,True
10,진짜 너무너무 존잼. 진짜 꼼꼼히 들어찬 액션영화캐릭터 모두가 허투루 쓰이지 않는다. 정말 오랜만에 보는 멋진 액션 영화,2018.12.01 16:12,True
10,"이렇게 재미있는 영화가 상영관이 이것 밖이라고.... 참, 심하다. 롯데하고 CGV 지네들이 배급하는 영화 아니라고 이러는구만, 부모님 보여드리게 낮이나 오전 시간대로 좀 넣어라, 나도 밤10시거 볼 수 밖에 없었다. 졸라 재밌드만",2018.12.02 01:51,True
10,눈내리는 겨울의 걸크러쉬 액션씬.스산한 겨울밤 보길 잘 했다.서사도 모르고 후기만 보고 선택했지만전혀 아쉬운 부분이 없었다.한국영화 보느니 이걸 두 번 본다.,2018.12.01 20:15,True
6,관람객사실 우리가 벌레고 영화가 거미임고치를깨라 중생들이여,2018.11.28 22:26,True
8,"관람객스릴과 긴박감넘치는 빠른전개,설원의 멋진배경이 단숨에 빠져들게하고, 한 순간도 눈을 떼게할 수 없는 쫄깃한 영화 입니다",2018.11.28 20:58,True
9,북유럽 스웨덴 여행..쫄깃한 전개..별9개 멋진 영화~~^^,2018.11.28 19:47,True
10,이런 영화 상영관이나 좀 늘려라,2018.12.01 14:07,True
6,연기와 촬영 음악까지 너무 훌룡한데 와 몰입이 않될까. 나만 그런가,2018.11.29 23:57,True
10,이것이야말로 걸크러쉬다 라는걸 보여주는 영화인듯 최고...,2018.11.29 16:50,True
10,ㅠㅠㅠㅠ 북유럽감성의 액션영화ㅠㅠ 주인공 너무 매력적인데 주인공 동생도 참 매력적...,2018.11.29 01:18,True
10,관람객오랫만에 액션 감동받았어요~~추천,2018.11.28 21:50,True
10,완전 재밌는데 왜이렇게 상영을 안해주냐ㅠㅠㅠ,2018.12.01 14:26,True
1,아 개졸리던데요 액션영화라면서 뭐 휘몰아치는것도 없고 찔끔보여주고 찔끔보여주는식 내용은 지루하고 졸리고.. 오늘로써 영화관에서 보다가 잔 영화 하나 더 늘었네;,2018.11.29 13:28,True
10,별 100개주고싶다. 원래 평점같은거 안남기는데 진짜 연기.연출.음악.캐릭터.캐미.시나리오 빠짐없이 다 좋았음. 통쾌함과 동시에 씁쓸함이 느껴지는 영화. 제발 보세요ㅠㅠㅠ상영관 늘려라ㅠㅠㅠ,2018.12.03 15:59,True
10,진짜 재밌음 후회없다 특히 사람에겐,2018.12.03 15:49,True
10,"관람객영화보고 후기보는데, 이전의 1편이 훨씬 잼있다는 얘기에 얼마나 더 잼있을건지 기대됨 훗^^v",2018.12.02 19:45,True
6,관람객좀 루즈하지만 재밌었어요,2018.12.01 15:54,True
