Rank,Title,Studio, Total Gross ,Theaters,Opening,Theaters.1,Open,Close,link,genre
103,Miss Peregrine's Home for Peculiar Children,Fox,87242834,"3,835","$28,871,140","3,522",9-30,2-9,/movies/?id=peregrine.htm,Fantasy
104,Sisters,Uni.,87044645,"2,978","$13,922,855","2,962",12-18,3-10,/movies/?id=nest.htm,Comedy
105,The Accountant,WB,86260045,"3,402","$24,710,273","3,332",10-14,1-12,/movies/?id=theaccountant.htm,Drama
106,The Emoji Movie,Sony,86089513,"4,075","$24,531,923","4,075",7-28,11-30,/movies/?id=theemojimovie.htm,Animation
107,Alvin and the Chipmunks: The Road Chip,Fox,85886987,"3,705","$14,287,159","3,653",12-18,5-19,/movies/?id=alvin4.htm,Family Comedy
108,Power Rangers (2017),LGF,85364450,"3,693","$40,300,288","3,693",3-24,6-1,/movies/?id=powerrangers16.htm,Action / Adventure
109,Ferdinand,Fox,84410380,"3,630","$13,401,586","3,621",12-15,5-31,/movies/?id=ferdinand.htm,Animation
110,Teenage Mutant Ninja Turtles: Out of the Shadows,Par.,82051601,"4,071","$35,316,382","4,071",6-3,9-8,/movies/?id=tmnt2016.htm,Action / Adventure
111,The Post,Fox,81903458,"2,851","$526,011",9,12-22,5-17,/movies/?id=untitledstevenspielberg.htm,Drama
112,Maze Runner: The Scorch Trials,Fox,81697192,"3,792","$30,316,510","3,791",9-18,1-21,/movies/?id=mazerunner2.htm,Action / Adventure
113,Ted 2,Uni.,81476385,"3,448","$33,507,870","3,442",6-26,8-27,/movies/?id=ted2.htm,Comedy
114,The Mummy (2017),Uni.,80227895,"4,035","$31,688,375","4,035",6-9,8-24,/movies/?id=mummy2016.htm,Action / Adventure
115,Goosebumps,Sony,80080379,"3,618","$23,618,556","3,501",10-16,2-18,/movies/?id=goosebumps.htm,Horror Comedy
116,The Purge: Election Year,Uni.,79213375,"2,821","$31,515,110","2,796",7-1,10-13,/movies/?id=purge3.htm,Thriller
117,Pixels,Sony,78747585,"3,723","$24,011,616","3,723",7-24,11-8,/movies/?id=pixels.htm,Action Comedy
118,Alice Through the Looking Glass,BV,77041381,"3,763","$26,858,726","3,763",5-27,9-1,/movies/?id=alice2.htm,Family Adventure
119,Paddington,W/Dim.,76271832,"3,355","$18,966,676","3,303",1-16,6-18,/movies/?id=paddington.htm,Family
120,Pete's Dragon (2016),BV,76233151,"3,702","$21,514,095","3,702",8-12,12-15,/movies/?id=petesdragon2016.htm,Family
121,The Intern,WB,75764672,"3,320","$17,728,313","3,305",9-25,1-7,/movies/?id=intern.htm,Comedy
122,The Hitman's Bodyguard,LG/S,75468583,"3,377","$21,384,504","3,377",8-18,11-2,/movies/?id=hitmansbodyguard.htm,Action Comedy
123,The Girl on the Train (2016),Uni.,75395035,"3,241","$24,536,265","3,144",10-7,12-29,/movies/?id=thegirlonthetrain2016.htm,Thriller
124,Alien: Covenant,Fox,74262031,"3,772","$36,160,621","3,761",5-19,8-31,/movies/?id=alienparadiselost.htm,Sci-Fi Horror
125,Captain Underpants: The First Epic Movie,Fox,73921000,"3,529","$23,851,539","3,434",6-2,11-2,/movies/?id=captainunderpants.htm,Animation
126,Boo! A Madea Halloween,LGF,73206343,"2,299","$28,501,448","2,260",10-21,12-22,/movies/?id=booamadeahalloween.htm,Horror Comedy
127,Storks,WB,72679278,"3,922","$21,311,407","3,922",9-23,1-12,/movies/?id=storks.htm,Animation
128,Bridge of Spies,BV,72313754,"2,873","$15,371,203","2,811",10-16,3-10,/movies/?id=coldwar2015.htm,Thriller
129,A Bad Moms Christmas,STX,72110659,"3,615","$16,759,161","3,615",11-1,1-11,/movies/?id=badmomschristmas.htm,Comedy
130,10 Cloverfield Lane,Par.,72082998,"3,427","$24,727,437","3,391",3-11,6-2,/movies/?id=badrobot2016.htm,Thriller
131,Paul Blart: Mall Cop 2,Sony,71038190,"3,633","$23,762,435","3,633",4-17,8-2,/movies/?id=paulblart2.htm,Comedy
132,The Big Short,Par.,70259870,"2,529","$705,527",8,12-11,4-7,/movies/?id=bigshort.htm,Drama
133,War Room,TriS,67790117,"1,945","$11,351,389","1,135",8-28,12-13,/movies/?id=warroom2015.htm,Drama
134,Lights Out,WB (NL),67268835,"2,835","$21,688,103","2,818",7-22,9-29,/movies/?id=newline0116.htm,Horror
135,Hacksaw Ridge,LGF,67209615,"2,971","$15,190,758","2,886",11-4,3-9,/movies/?id=hacksawridge.htm,Action Drama
136,The Divergent Series: Allegiant,LG/S,66184051,"3,740","$29,027,348","3,740",3-18,6-2,/movies/?id=allegiant.htm,Action / Adventure
137,Magic Mike XXL,WB,66013057,"3,376","$12,857,184","3,355",7-1,9-24,/movies/?id=magicmike2.htm,Comedy / Drama
138,The Visit,Uni.,65206105,"3,148","$25,427,560","3,069",9-11,11-26,/movies/?id=blumhouse2015.htm,Horror
139,Now You See Me 2,LG/S,65075540,"3,232","$22,383,146","3,232",6-10,8-25,/movies/?id=nowyouseeme2.htm,Thriller
140,A Dog's Purpose,Uni.,64508620,"3,178","$18,222,810","3,059",1-27,5-18,/movies/?id=adogspurpose.htm,Comedy / Drama
141,The Wedding Ringer,SGem,64460211,"3,003","$20,649,306","3,003",1-16,4-5,/movies/?id=kevinhart15.htm,Comedy
142,Ice Age: Collision Course,Fox,64063008,"3,997","$21,373,064","3,992",7-22,11-3,/movies/?id=iceage5.htm,Animation
143,The Shape of Water,FoxS,63859435,"2,341","$166,564",2,12-1,5-3,/movies/?id=theshapeofwater.htm,Fantasy Drama
144,The Boss,Uni.,63285885,"3,495","$23,586,645","3,480",4-8,8-4,/movies/?id=michelledarnell.htm,Comedy
145,Black Mass,WB,62575678,"3,188","$22,635,037","3,188",9-18,12-3,/movies/?id=whiteybulger15.htm,Crime Drama
146,London Has Fallen,Focus,62524260,"3,492","$21,635,601","3,490",3-4,6-2,/movies/?id=londonhasfallen.htm,Action
147,Miracles from Heaven,TriS,61705123,"3,155","$14,812,393","3,047",3-16,7-21,/movies/?id=miraclesfromheaven.htm,Drama
148,Deepwater Horizon,LG/S,61433527,"3,403","$20,223,544","3,259",9-30,12-15,/movies/?id=deepwaterhorizon.htm,Action Drama
149,Why Him?,Fox,60323786,"3,008","$11,002,986","2,917",12-23,3-23,/movies/?id=whyhim.htm,Comedy
150,My Big Fat Greek Wedding 2,Uni.,59689605,"3,179","$17,861,950","3,133",3-25,5-26,/movies/?id=mybigfatgreekwedding2.htm,Comedy
151,The LEGO Ninjago Movie,WB,59281555,"4,047","$20,433,071","4,047",9-22,11-30,/movies/?id=ninjago.htm,Animation
152,Vacation,WB (NL),58884188,"3,430","$14,681,108","3,411",7-29,10-29,/movies/?id=newline15.htm,Comedy
153,Jack Reacher: Never Go Back,Par.,58697076,"3,780","$22,872,490","3,780",10-21,1-12,/movies/?id=jackreacher2.htm,Crime Drama
154,Baywatch,Par.,58060186,"3,647","$18,503,871","3,647",5-25,7-27,/movies/?id=baywatch.htm,Action Comedy
155,Fences,Par.,57682904,"2,368","$129,462",4,12-16,3-30,/movies/?id=fences.htm,Drama
156,The Shack,LG/S,57386418,"2,888","$16,172,119","2,888",3-3,5-18,/movies/?id=theshack.htm,Drama
157,The Perfect Guy,SGem,57027435,"2,230","$25,888,154","2,221",9-11,12-3,/movies/?id=perfectguy.htm,Thriller
158,Darkest Hour,Focus,56468410,"1,733","$175,006",4,11-22,4-12,/movies/?id=darkesthour2017.htm,Drama
